название,тип,номер_билета
Green Apelsin,концерт,9535258
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,9548270
Гарри Поттер. Симфонический саундтрек,концерт,9555366
Green Apelsin,концерт,9591088
Green Apelsin,концерт,9601892
Лебединое озеро,театр,9604696
Секреты Джузеппе Арчимбольдо,выставка,9622416
Фрида: невероятное желание жить!,театр,9644760
Гарри Поттер. Симфонический саундтрек,концерт,9654347
Музыка в оранжерее Таврического сада,концерт,9691712
Гарри Поттер. Симфонический саундтрек,концерт,9692988
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,9718930
Гарри Поттер. Симфонический саундтрек,концерт,9725809
Гарри Поттер. Симфонический саундтрек,концерт,9728925
Фрида: невероятное желание жить!,театр,9759094
Фрида: невероятное желание жить!,театр,9785828
Мастер и Маргарита,театр,9795882
Музыка в оранжерее Таврического сада,концерт,9799544
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,9837500
Фрида: невероятное желание жить!,театр,9878820
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,9891751
